sample,spec,se_type,n_event_coefficients,min_std_error,median_std_error,max_std_error,near_zero_se_count,nonfinite_se_count,vcov_dim,vcov_rank,vcov_rank_deficiency,vcov_status,repair_required,vcov_repaired,min_eigenvalue,diagnostic_note
diagnostic_1952_start,interacted_controls_full_panel,cluster_cz,17,0.0011450276276515669,0.0028558229703066276,0.005505288696215489,0,0,119,119,0,ok,FALSE,FALSE,1.381830766760789e-8,NA
diagnostic_1952_start,interacted_controls_full_panel,cluster_cz_year,17,3.397578613634519e-4,0.0012839583919069543,0.00206625665434838,0,8,119,119,0,repair_required,TRUE,FALSE,-0.0011481914613675338,Two-way clustering includes very few year clusters; use as diagnostic only.
diagnostic_1952_start,interacted_controls_full_panel,cluster_state,17,0.001261826138649401,0.0031569193764784506,0.0071143555781618024,0,0,119,47,72,ok,FALSE,FALSE,-2.162309408239941e-18,VCOV is rank deficient; use as diagnostic only unless justified.
diagnostic_1952_start,interacted_controls_full_panel,conley_1000km,17,0.0010730126062822505,0.003912176806673695,0.007146029919738701,0,1,119,119,0,repair_required,TRUE,FALSE,-0.004005692388486417,Conley VCOV is non-positive-definite before repair or requires numerical repair; diagnostic only unless separately justified.
diagnostic_1952_start,interacted_controls_full_panel,conley_250km,17,0.001342211415342495,0.0035539326420068722,0.008008527265597023,0,0,119,119,0,repair_required,TRUE,FALSE,-2.2142597707620334e-4,Conley VCOV is non-positive-definite before repair or requires numerical repair; diagnostic only unless separately justified.
diagnostic_1952_start,interacted_controls_full_panel,conley_500km,17,0.0012427768008149397,0.003734327299826879,0.009202204361062265,0,0,119,119,0,repair_required,TRUE,FALSE,-0.0012160096095711846,Conley VCOV is non-positive-definite before repair or requires numerical repair; diagnostic only unless separately justified.
diagnostic_1952_start,interacted_controls_full_panel,conley_750km,17,0.0011857890697599296,0.004071132763282692,0.005853936894451115,0,1,119,119,0,repair_required,TRUE,FALSE,-0.0025146370910997997,Conley VCOV is non-positive-definite before repair or requires numerical repair; diagnostic only unless separately justified.
diagnostic_1952_start,interacted_controls_full_panel,driscoll_kraay_lag1,17,6.6581049623385e-15,6.666487821117387e-15,6.840206827880873e-15,17,0,119,51,68,ok,FALSE,FALSE,-3.071667455284593e-41,Suspicious near-zero Driscoll-Kraay SEs and rank-deficient VCOV; do not report without further diagnosis.
diagnostic_1952_start,interacted_controls_full_panel,heteroskedastic,17,0.0021333081501511506,0.0029210393560253275,0.005377386641564065,0,0,119,119,0,ok,FALSE,FALSE,1.1283571351509162e-6,NA
diagnostic_1952_start,interacted_controls_full_panel,newey_west_lag1,17,0.0017729880433897665,0.0030056090576211147,0.005533072316494966,0,0,119,119,0,ok,FALSE,FALSE,6.256932683022965e-7,NA
diagnostic_1952_start,interacted_controls_full_panel_raw_controls_diagnostic,cluster_cz,17,0.0011450276276506633,0.002855822970306149,0.00550528869621508,0,0,119,119,0,ok,FALSE,FALSE,6.000289828869363e-10,NA
diagnostic_1952_start,interacted_controls_full_panel_raw_controls_diagnostic,cluster_cz_year,17,3.397578613683832e-4,0.0012839583919066143,0.0020662566543472463,0,8,119,119,0,repair_required,TRUE,FALSE,-0.004036877671090155,Two-way clustering includes very few year clusters; use as diagnostic only.
diagnostic_1952_start,interacted_controls_full_panel_raw_controls_diagnostic,cluster_state,17,0.0012618261386475762,0.003156919376477919,0.007114355578160198,0,0,119,50,69,ok,FALSE,FALSE,-3.721438604269814e-18,VCOV is rank deficient; use as diagnostic only unless justified.
diagnostic_1952_start,interacted_controls_full_panel_raw_controls_diagnostic,conley_1000km,17,0.0010730126062792743,0.003912176806674726,0.007146029919736274,0,1,119,119,0,repair_required,TRUE,FALSE,-0.0055160518415711245,Conley VCOV is non-positive-definite before repair or requires numerical repair; diagnostic only unless separately justified.
diagnostic_1952_start,interacted_controls_full_panel_raw_controls_diagnostic,conley_250km,17,0.0013422114153399149,0.003553932642007792,0.008008527265595217,0,0,119,119,0,repair_required,TRUE,FALSE,-4.307455905545576e-5,Conley VCOV is non-positive-definite before repair or requires numerical repair; diagnostic only unless separately justified.
diagnostic_1952_start,interacted_controls_full_panel_raw_controls_diagnostic,conley_500km,17,0.0012427768008134617,0.003734327299827784,0.009202204361059776,0,0,119,119,0,repair_required,TRUE,FALSE,-0.0011072692667898007,Conley VCOV is non-positive-definite before repair or requires numerical repair; diagnostic only unless separately justified.
diagnostic_1952_start,interacted_controls_full_panel_raw_controls_diagnostic,conley_750km,17,0.0011857890697564532,0.004071132763278846,0.005853936894447852,0,1,119,119,0,repair_required,TRUE,FALSE,-9.976642597629088e-4,Conley VCOV is non-positive-definite before repair or requires numerical repair; diagnostic only unless separately justified.
diagnostic_1952_start,interacted_controls_full_panel_raw_controls_diagnostic,driscoll_kraay_lag1,17,4.009522426407178e-15,4.02343226722794e-15,4.161540881364658e-15,17,0,119,63,56,ok,FALSE,FALSE,-1.0605723293603846e-41,Suspicious near-zero Driscoll-Kraay SEs and rank-deficient VCOV; do not report without further diagnosis.
diagnostic_1952_start,interacted_controls_full_panel_raw_controls_diagnostic,heteroskedastic,17,0.0021333081501507226,0.002921039356024897,0.005377386641563625,0,0,119,119,0,ok,FALSE,FALSE,1.0191946332973338e-7,NA
diagnostic_1952_start,interacted_controls_full_panel_raw_controls_diagnostic,newey_west_lag1,17,0.0017729880433892064,0.003005609057620703,0.005533072316494299,0,0,119,119,0,ok,FALSE,FALSE,4.223291788514967e-8,NA
diagnostic_1952_start,interacted_core_controls_diagnostic,cluster_cz,17,0.0011360625668400551,0.002699097242648192,0.005438203846742637,0,0,68,68,0,ok,FALSE,FALSE,2.7472314894080397e-8,NA
diagnostic_1952_start,interacted_core_controls_diagnostic,cluster_cz_year,17,7.967739399532516e-4,0.0021135459239718804,0.00251305485140802,0,10,68,68,0,repair_required,TRUE,FALSE,-4.951581649238113e-4,Two-way clustering includes very few year clusters; use as diagnostic only.
diagnostic_1952_start,interacted_core_controls_diagnostic,cluster_state,17,0.001282890367835815,0.0031404050084903874,0.00651676871594215,0,0,68,47,21,ok,FALSE,FALSE,-7.391498055440784e-19,VCOV is rank deficient; use as diagnostic only unless justified.
diagnostic_1952_start,interacted_core_controls_diagnostic,conley_1000km,17,9.919959493670234e-4,0.0033094985639314286,0.006965256895332646,0,0,68,68,0,repair_required,TRUE,FALSE,-0.001009089746493219,Conley VCOV is non-positive-definite before repair or requires numerical repair; diagnostic only unless separately justified.
diagnostic_1952_start,interacted_core_controls_diagnostic,conley_250km,17,0.001278951154350679,0.003571968322384919,0.00781932565421314,0,0,68,68,0,repair_required,TRUE,FALSE,-2.4012045619484498e-5,Conley VCOV is non-positive-definite before repair or requires numerical repair; diagnostic only unless separately justified.
diagnostic_1952_start,interacted_core_controls_diagnostic,conley_500km,17,5.873902291194618e-4,0.0036426777588504126,0.008218063621193976,0,0,68,68,0,repair_required,TRUE,FALSE,-2.2961217585464763e-4,Conley VCOV is non-positive-definite before repair or requires numerical repair; diagnostic only unless separately justified.
